EntryID,LemmaID,Code,SignFrequency(M),SignFrequency(SD),SignFrequency(Z),SignFrequency(N),PercentUnknown,SignFrequency(M-Native),SignFrequency(SD-Native),SignFreq(Z-native),SignFrequency(N-Native),PercentUnknown(Native),PercentGlossAgreement,PercentGlossAgreement(Native),Iconicity(M),Iconicity(SD),Iconicity(Z),Iconicity(N),Iconicity_ID,SubtLexUSLog10WF,LexicalClass,SignOnset(ms),SignOffset(ms),SignLength(ms),MinimalNeighborhoodDensity,MaximalNeighborhoodDensity,Parameter-BasedNeighborhoodDensity,D.Iconicity(M) all,D.Iconicity(SD) all,D.Iconicity(N) all,D.Iconicity(Z) all,D.Iconicity(M) native,D.Iconicity(SD) native,D.Iconicity(N) native,D.Iconicity(Z) native,Complexity,RightWristX,RightWristcentroidY,DistanceRightWristCentroid2Nose,IconicityType,Initialized.2.0,FingerspelledLoanSign.2.0,Compound.2.0,NumberOfMorphemes.2.0,Handshape.2.0,MarkedHandshape.2.0,SelectedFingers.2.0,Flexion.2.0,FlexionChange.2.0,Spread.2.0,SpreadChange.2.0,ThumbPosition.2.0,ThumbContact.2.0,SignType.2.0,Movement.2.0,MajorLocation.2.0,MinorLocation.2.0,SecondMinorLocation.2.0,Contact.2.0,NonDominantHandshape.2.0,UlnarRotation.2.0,HandshapeM2.2.0,MarkedHandshapeM2.2.0,SelectedFingersM2.2.0,FlexionM2.2.0,FlexionChangeM2.2.0,SpreadM2.2.0,SpreadChangeM2.2.0,ThumbPositionM2.2.0,ThumbContactM2.2.0,SignTypeM2.2.0,MovementM2.2.0,MajorLocationM2.2.0,MinorLocationM2.2.0,SecondMinorLocationM2.2.0,ContactM2.2.0,NonDominantHandshapeM2.2.0,UlnarRotationM2.2.0,HandshapeM3.2.0,MarkedHandshapeM3.2.0,SelectedFingersM3.2.0,FlexionM3.2.0,FlexionChangeM3.2.0,SpreadM3.2.0,SpreadChangeM3.2.0,ThumbPositionM3.2.0,ThumbContactM3.2.0,SignTypeM3.2.0,MovementM3.2.0,MajorLocationM3.2.0,MinorLocationM3.2.0,SecondMinorLocationM3.2.0,ContactM3.2.0,NonDominantHandshapeM3.2.0,UlnarRotationM3.2.0,HandshapeM4.2.0,MarkedHandshapeM4.2.0,SelectedFingersM4.2.0,FlexionM4.2.0,FlexionChangeM4.2.0,SpreadM4.2.0,SpreadChangeM4.2.0,ThumbPositionM4.2.0,ThumbContactM4.2.0,SignTypeM4.2.0,MovementM4.2.0,MajorLocationM4.2.0,MinorLocationM4.2.0,SecondMinorLocationM4.2.0,ContactM4.2.0,NonDominantHandshapeM4.2.0,UlnarRotationM4.2.0,HandshapeM5.2.0,MarkedHandshapeM5.2.0,SelectedFingersM5.2.0,FlexionM5.2.0,FlexionChangeM5.2.0,SpreadM5.2.0,SpreadChangeM5.2.0,ThumbPositionM5.2.0,ThumbContactM5.2.0,SignTypeM5.2.0,MovementM5.2.0,MajorLocationM5.2.0,MinorLocationM5.2.0,SecondMinorLocationM5.2.0,ContactM5.2.0,NonDominantHandshapeM5.2.0,UlnarRotationM5.2.0,HandshapeM6.2.0,MarkedHandshapeM6.2.0,SelectedFingersM6.2.0,FlexionM6.2.0,FlexionChangeM6.2.0,SpreadM6.2.0,SpreadChangeM6.2.0,ThumbPositionM6.2.0,ThumbContactM6.2.0,SignTypeM6.2.0,MovementM6.2.0,MajorLocationM6.2.0,MinorLocationM6.2.0,SecondMinorLocationM6.2.0,ContactM6.2.0,NonDominantHandshapeM6.2.0,UlnarRotationM6.2.0,Batch,Item,List,Neighborhood Density
&=arms-cross,,J_01_098,3.467,,-0.45799999999999996,,,,,,,,,,6.52,0.963,1.619,25.0,crossing arms,,,,,,,,,,,,,,,,,4,973.0,1056.0,1436.0,Pantomimic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,J,98,1,0
&=clap,,J_02_076,3.867,,-0.127,,,,,,,,,,6.667000000000001,1.0070000000000001,1.7269999999999999,24.0,clapping,,,,,,,,,,,,,,,,,2,959.0,713.0,1195.0,Pantomimic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,J,76,2,0
&=raise-hand,,H_02_48,2.28,,-1.163,,,,,,,,,,,,,,raising a hand,,,,,,,,,,,,,,,,,2,963.0,591.0,1130.0,Pantomimic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,H,48,2,0
&=sigh,,H_03_86,5.154,,0.544,,,,,,,,,,6.375,1.439,1.5119999999999998,24.0,sighing,,,,,,,,,,,,,,,,,2,983.0,1332.0,1656.0,Pantomimic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,H,86,3,0
1_dollar,1_dollar,C_02_025,3.034,1.5,-0.775,29.0,0.0,2.944,1.474,-0.922,18.0,0.0,,,1.074,2.025,-0.82,27.0,,3.15,Noun,467.13,1101.1,633.97,739.0,28.0,9.0,2.0,1.0,30.0,0.0,2.0,1.0,21.0,0.0,2,1579.0,766.0,1754.0,Arbitrary,0.0,0.0,0.0,1.0,spread_o,0.0,imrp,5,1.0,0.0,,Open,NoContact,AsymmetricalDifferentHandshape,Straight,Hand,FingerBack,HandAway,1.0,B,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,25,2,540
5_dollars,5_dollars,B_01_062,5.12,1.716,0.302,25.0,0.0,5.2139999999999995,1.847,0.36,14.0,0.0,,,5.481,2.016,1.308,27.0,,0.0,Noun,433.77,767.43,333.67,923.0,44.0,12.0,3.0,1.0,31.0,0.0,3.0,1.0,22.0,0.0,0,1534.0,640.0,1662.0,Perceptual,,0.0,0.0,1.0,5,0.0,imrp,1,0.0,1.0,0.0,Open,NoContact,OneHanded,None,Neutral,Neutral,,0.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B,62,1,865
8_hour,8_hour,C_02_055,4.2669999999999995,1.574,-0.043,30.0,0.0,4.444,1.723,-0.040999999999999995,18.0,0.0,,,2.654,2.025,-0.10099999999999999,26.0,,0.0,Number,500.5,1234.57,734.07,392.0,2.0,0.0,3.0,2.0,30.0,0.0,3.0,2.0,21.0,0.0,3,1684.0,774.0,1853.0,Arbitrary,1.0,0.0,0.0,1.0,d,1.0,m,5,0.0,,,Open,Contact,AsymmetricalDifferentHandshape,Circular,Hand,FingerFront,Palm,1.0,B,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,55,2,540
9_oclock,9_oclock,C_02_080,4.133,1.5919999999999999,-0.126,30.0,0.0,4.7780000000000005,1.4780000000000002,0.139,18.0,0.0,,,2.741,2.025,0.034,27.0,,0.0,Number,533.87,1267.94,734.07,733.0,5.0,0.0,3.0,2.0,30.0,0.0,3.0,2.0,21.0,0.0,1,1706.0,786.0,1878.0,Arbitrary,1.0,0.0,1.0,2.0,flat_1,0.0,i,4,0.0,,,Closed,NoContact,OneHanded,Straight,Arm,WristBack,,1.0,,0.0,f,1.0,i,5,0.0,,,Open,Contact,OneHanded,Straight,Neutral,Neutral,Neutral,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,80,2,3
a_little_bit,,H_03_25,2.963,,-0.762,,,,,,,,,,2.833,1.659,-0.18899999999999997,24.0,a little bit,,Adverb,,,,,,,,,,,,,,,0,957.0,308.0,1005.0,Arbitrary,,0.0,0.0,1.0,f,1.0,t,,0.0,,,Closed,,OneHanded,None,Neutral,Neutral,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,H,25,3,865
abbreviate(short),,G_01_40,5.444,,0.669,,,,,,,,,,1.889,1.85,-0.6729999999999999,27.0,,0.301,Verb,,,,,,,,,,,,,,,2,959.0,475.0,1070.0,Arbitrary,,0.0,0.0,1.0,h,1.0,im,1,0.0,0.0,0.0,Closed,NoContact,AsymmetricalSameHandshape,Straight,Hand,FingerRadial,HandAway,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,G,40,1,540
about_1,about,B_02_072,5.48,1.475,0.523,25.0,0.0,5.5,1.787,0.518,14.0,0.0,,,2.0669999999999997,2.045,-0.324,30.0,,5.268,Minor,367.03,1067.73,700.7,737.0,15.0,3.0,1.0,1.0,31.0,-1.0,1.0,1.0,22.0,-1.0,2,1609.0,793.0,1793.0,Arbitrary,0.0,0.0,0.0,1.0,1,0.0,i,1,0.0,,,Closed,NoContact,AsymmetricalSameHandshape,Circular,Hand,HandAway,FingerTip,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B,72,2,540
about_2,about,B_02_003,3.522,1.534,-0.762,23.0,8.0,3.417,1.564,-0.794,12.0,14.29,,,2.133,2.045,-0.309,30.0,,5.268,Minor,567.23,1501.5,934.27,735.0,31.0,3.0,2.0,1.0,31.0,-1.0,2.0,1.0,22.0,-1.0,3,1720.0,798.0,1896.0,Arbitrary,0.0,0.0,0.0,1.0,1,0.0,i,1,0.0,,,Closed,NoContact,AsymmetricalDifferentHandshape,Circular,Hand,HandAway,FingerTip,1.0,O,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B,3,2,540
absolutely_nothing,,J_01_027,2.957,,-0.6859999999999999,,,,,,,,,,1.6,1.225,-0.747,25.0,absolutely nothing,,,,,,,,,,,,,,,,,1,963.0,285.0,1004.0,Arbitrary,,0.0,0.0,1.0,flat_o,0.0,imrp,4,0.0,0.0,0.0,Open,Contact,OneHanded,None,Head,Mouth,,1.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,J,27,1,520
accent,,E_01_73,3.094,,-0.6809999999999999,,,,,,,,,,1.9169999999999998,2.198,-0.674,24.0,,2.927,Noun,,,,,,,,,,,,,,,0,960.0,788.0,1242.0,Arbitrary,,0.0,0.0,1.0,1,0.0,i,1,0.0,,,Closed,NoContact,OneHanded,None,Body,Neck,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,E,73,1,205
